booking_id,hotel,arrival_year,arrival_month,arrival_day_of_month,stays_in_week_nights,stays_in_weekend_nights,avg_price_per_room,country,market_segment_type,booking_status,email,lead_time,arrival_date_week_number
INN00042,,2018,6,21,2,0,102.0,,online,cancelled,,35,
INN00043,,2018,4,10,1,2,121.8,,online,cancelled,,96,
INN00044,,2018,6,27,1,1,98.1,,online,cancelled,,41,
INN00045,,2017,11,18,4,0,60.0,,offline,cancelled,,55,
INN00046,,2017,12,29,3,0,75.0,,offline,cancelled,,146,
INN00047,,2017,11,20,2,0,73.0,,offline,cancelled,,32,
INN00048,,2018,4,6,1,0,104.0,,offline,cancelled,,55,
INN00049,,2018,11,1,4,0,79.2,,online,cancelled,,57,
INN00050,,2018,12,29,3,1,125.8,,online,cancelled,,7,
INN00051,,2018,5,30,5,2,87.95,,online,cancelled,,124,
INN00052,,2018,4,22,2,2,106.0,,online,cancelled,,169,
INN00053,,2018,5,16,2,1,136.67,,online,cancelled,,6,
INN00054,,2017,11,11,4,0,60.0,,offline,cancelled,,51,
INN00055,,2018,6,13,0,1,89.0,,online,cancelled,,13,
INN00056,,2018,5,19,3,1,136.0,,online,cancelled,,100,
INN00057,,2018,7,28,1,0,94.5,,online,cancelled,,139,
INN00058,,2018,12,26,2,1,93.6,,online,cancelled,,117,
INN00059,,2018,4,20,4,1,120.6,,online,cancelled,,39,
INN00060,,2018,4,6,3,0,99.3,,online,cancelled,,86,
INN00061,,2018,9,2,1,0,258.0,,online,cancelled,,2,
INN00062,,2018,5,3,3,0,120.12,,online,cancelled,,19,
INN00063,,2018,6,24,2,0,95.0,,offline,cancelled,,192,
INN00064,,2017,9,10,1,0,0.0,,complementary,cancelled,,2,
INN00065,,2018,12,18,1,2,75.0,,offline,cancelled,,86,
INN00066,,2018,10,5,3,0,157.5,,online,cancelled,,30,
INN00067,,2018,6,3,2,0,97.7,,online,cancelled,,179,
INN00068,,2018,4,15,2,0,142.0,,online,cancelled,,26,
INN00069,,2018,4,6,1,0,80.0,,offline,cancelled,,55,
INN00070,,2018,4,25,2,1,85.5,,online,cancelled,,74,
INN00071,,2018,8,25,3,0,100.0,,offline,cancelled,,143,
INN00072,,2018,11,14,0,1,88.0,,online,cancelled,,34,
INN00073,,2018,8,29,1,1,122.85,,online,cancelled,,30,
INN00074,,2018,6,3,2,0,100.0,,online,cancelled,,177,
INN00075,,2017,10,25,3,2,75.0,,offline,cancelled,,34,
INN00076,,2018,3,9,4,1,116.8,,online,cancelled,,18,
INN00077,,2018,12,31,1,1,121.5,,online,cancelled,,267,
INN00078,,2018,6,27,2,1,111.9,,online,cancelled,,64,
INN00079,,2018,6,28,5,2,121.55,,online,cancelled,,155,
INN00080,,2018,3,29,5,0,75.0,,offline,cancelled,,46,
INN00081,,2018,4,1,2,0,159.3,,online,cancelled,,83,
INN00082,,2018,10,11,5,0,132.3,,online,cancelled,,128,
INN00083,,2018,12,25,0,2,88.0,,online,cancelled,,20,
INN00084,,2018,3,14,4,1,98.82,,online,cancelled,,40,
INN00085,,2018,3,4,2,1,98.3,,online,cancelled,,46,
INN00086,,2018,10,17,0,1,150.0,,online,cancelled,,1,
INN00087,,2018,9,4,3,2,96.05,,online,cancelled,,196,
INN00088,,2018,6,15,2,0,130.0,,online,cancelled,,188,
INN00089,,2018,12,10,1,0,95.0,,online,cancelled,,17,
INN00090,,2018,8,9,3,0,113.56,,offline,cancelled,,146,
INN00091,,2018,5,5,3,1,101.58,,online,cancelled,,110,
INN00092,,2018,3,18,2,1,105.3,,online,cancelled,,68,
INN00093,,2018,4,9,1,2,115.8,,online,cancelled,,73,
INN00094,,2018,5,19,1,0,149.4,,online,cancelled,,92,
INN00095,,2018,8,30,5,2,111.59,,online,cancelled,,171,
INN00096,,2018,8,4,2,0,130.5,,online,cancelled,,134,
INN00097,,2018,8,18,2,0,115.0,,online,cancelled,,320,
INN00098,,2018,4,13,4,0,90.95,,online,cancelled,,118,
INN00099,,2018,11,17,3,0,76.08,,online,cancelled,,30,
INN00100,,2018,12,22,3,1,156.9,,online,cancelled,,30,
INN00101,,2018,10,23,0,1,85.5,,online,cancelled,,189,
INN00102,,2018,5,13,2,1,159.3,,online,cancelled,,55,
INN00103,,2018,12,13,4,0,74.8,,online,cancelled,,55,
INN00104,,2017,10,31,1,0,95.0,,online,cancelled,,16,
INN00105,,2017,10,8,3,0,107.0,,online,cancelled,,24,
INN00106,,2018,2,16,3,0,64.0,,offline,cancelled,,8,
INN00107,,2017,11,2,4,1,82.95,,online,cancelled,,10,
INN00108,,2017,9,21,3,1,155.0,,online,cancelled,,0,
INN00109,,2018,6,30,1,0,101.68,,online,cancelled,,12,
INN00110,,2017,9,5,1,2,94.5,,online,cancelled,,32,
INN00111,,2018,9,30,2,0,117.9,,online,cancelled,,182,
INN00112,,2018,6,27,0,1,127.0,,online,cancelled,,1,
INN00113,,2018,6,16,3,0,116.1,,online,cancelled,,122,
INN00114,,2018,6,30,3,2,117.9,,online,cancelled,,40,
INN00115,,2018,6,26,2,2,184.24,,online,cancelled,,116,
INN00116,,2018,8,13,2,2,155.7,,online,cancelled,,123,
INN00117,,2018,4,22,5,2,135.76,,online,cancelled,,40,
INN00118,,2018,11,12,5,2,102.83,,online,cancelled,,105,
INN00119,,2018,4,29,1,0,65.0,,online,cancelled,,443,
INN00120,,2017,11,14,3,2,103.0,,online,cancelled,,2,
INN00121,,2018,9,1,3,0,106.2,,online,cancelled,,317,
INN00122,,2018,9,16,2,0,58.5,,offline,cancelled,,286,
INN00123,,2018,3,10,3,1,73.95,,online,cancelled,,68,
INN00124,,2018,5,5,3,0,105.3,,online,cancelled,,148,
INN00125,,2018,4,24,0,2,133.2,,online,cancelled,,68,
INN00126,,2018,3,30,2,0,85.5,,offline,cancelled,,30,
INN00127,,2018,11,3,1,0,112.0,,online,cancelled,,14,
INN00128,,2018,10,14,2,0,190.8,,online,cancelled,,110,
INN00129,,2018,6,5,3,2,110.0,,offline,cancelled,,117,
INN00130,,2018,7,13,4,1,91.48,,online,cancelled,,85,
INN00131,,2018,10,20,2,0,135.0,,online,cancelled,,1,
INN00132,,2018,10,17,2,1,129.0,,online,cancelled,,25,
INN00133,,2018,12,28,4,2,70.55,,online,cancelled,,289,
INN00134,,2017,10,19,4,1,75.0,,offline,cancelled,,28,
INN00135,,2018,3,29,4,0,72.25,,online,cancelled,,80,
INN00136,,2017,10,9,1,0,155.0,,online,cancelled,,11,
INN00137,,2018,7,25,0,1,121.5,,online,cancelled,,162,
INN00138,,2018,6,28,5,2,90.95,,online,cancelled,,155,
INN00139,,2018,5,22,2,2,109.65,,online,cancelled,,82,
INN00140,,2018,4,15,4,2,142.72,,online,cancelled,,27,
INN00141,,2018,5,9,2,1,90.0,,offline,cancelled,,13,
INN00142,,2018,6,17,2,0,75.0,,online,cancelled,,245,
INN00143,,2018,11,18,2,0,111.0,,online,cancelled,,11,
INN00144,,2018,10,30,2,2,86.7,,online,cancelled,,266,
INN00145,,2018,3,28,0,1,117.9,,online,cancelled,,39,
INN00146,,2018,6,1,2,0,0.0,,complementary,cancelled,,13,
INN00147,,2018,5,4,4,0,101.58,,online,cancelled,,112,
INN00148,,2018,4,8,2,1,58.9,,online,cancelled,,88,
INN00149,,2018,6,8,1,0,120.0,,offline,cancelled,,56,
INN00150,,2018,4,7,3,2,107.1,,online,cancelled,,73,
INN00151,,2018,5,2,1,1,126.9,,online,cancelled,,80,
INN00152,,2018,9,29,3,0,139.5,,online,cancelled,,130,
INN00153,,2018,4,4,3,1,80.75,,online,cancelled,,69,
INN00154,,2017,7,17,2,0,109.0,,online,cancelled,,273,
INN00155,,2018,4,6,1,0,104.0,,offline,cancelled,,55,
INN00156,,2018,11,1,3,0,65.0,,corporate,cancelled,,4,
INN00157,,2018,5,24,3,0,140.4,,online,cancelled,,97,
INN00158,,2018,2,17,3,0,75.0,,offline,cancelled,,44,
INN00159,,2018,4,14,1,0,94.5,,online,cancelled,,31,
INN00160,,2018,6,5,0,1,109.0,,online,cancelled,,0,
INN00161,,2018,11,12,2,2,105.0,,online,cancelled,,62,
INN00162,,2018,4,17,2,2,107.95,,online,cancelled,,86,
INN00163,,2018,10,7,2,2,215.6,,online,cancelled,,3,
INN00164,,2018,8,1,1,1,85.5,,online,cancelled,,197,
INN00165,,2018,7,12,2,0,105.3,,online,cancelled,,143,
INN00166,,2018,1,2,1,2,1.0,,online,cancelled,,23,
INN00167,,2018,6,15,2,0,156.0,,online,cancelled,,8,
INN00168,,2018,11,16,2,0,73.15,,online,cancelled,,13,
INN00169,,2018,9,19,2,1,110.0,,online,cancelled,,280,
INN00170,,2017,9,13,0,1,87.4,,online,cancelled,,11,
INN00171,,2018,9,15,2,0,120.0,,online,cancelled,,317,
INN00172,,2018,12,16,2,1,79.2,,online,cancelled,,185,
INN00173,,2018,6,30,3,1,90.95,,online,cancelled,,160,
INN00174,,2018,10,18,4,0,91.48,,online,cancelled,,104,
INN00175,,2018,11,5,1,0,150.0,,online,cancelled,,11,
INN00176,,2018,3,22,1,0,89.0,,online,cancelled,,2,
INN00177,,2018,8,17,4,1,91.43,,online,cancelled,,14,
INN00178,,2018,5,20,2,0,140.0,,offline,cancelled,,22,
INN00179,,2017,10,24,5,2,87.78,,online,cancelled,,37,
INN00180,,2018,7,21,2,0,115.0,,online,cancelled,,292,
INN00181,,2017,9,9,3,0,80.85,,online,cancelled,,11,
INN00182,,2018,3,31,3,1,82.45,,online,cancelled,,86,
INN00183,,2018,10,11,1,0,108.0,,online,cancelled,,109,
INN00184,,2018,4,2,1,1,96.3,,online,cancelled,,72,
INN00185,,2018,8,22,5,1,99.45,,online,cancelled,,196,
INN00186,,2018,5,13,2,0,140.4,,online,cancelled,,56,
INN00187,,2018,8,8,3,1,72.25,,offline,cancelled,,189,
INN00188,,2018,8,15,4,1,126.0,,online,cancelled,,126,
INN00189,,2018,8,19,3,2,78.0,,online,cancelled,,303,
INN00190,,2018,11,6,2,2,146.6,,online,cancelled,,81,
INN00191,,2018,10,10,2,1,118.8,,online,cancelled,,54,
INN00192,,2018,10,6,1,0,145.0,,online,cancelled,,15,
INN00193,,2018,4,6,4,0,84.58,,online,cancelled,,86,
INN00194,,2018,3,25,2,1,130.0,,online,cancelled,,161,
INN00195,,2018,8,3,10,4,118.88,,online,cancelled,,147,
INN00196,,2018,5,30,2,1,101.52,,offline,cancelled,,92,
INN00197,,2017,9,11,1,0,100.0,,corporate,cancelled,,87,
INN00198,,2018,3,20,1,2,58.0,,offline,cancelled,,109,
INN00199,,2018,3,23,4,0,61.5,,offline,cancelled,,127,
INN00200,,2018,9,26,2,1,107.0,,online,cancelled,,418,
INN00201,,2018,8,24,4,1,87.3,,online,cancelled,,156,
INN00202,,2017,7,16,2,0,76.5,,online,cancelled,,80,
INN00203,,2018,12,16,2,2,63.75,,online,cancelled,,211,
INN00204,,2018,5,13,2,1,95.0,,online,cancelled,,273,
INN00205,,2018,11,19,1,2,75.0,,offline,cancelled,,58,
INN00206,,2018,9,8,3,0,70.0,,online,cancelled,,433,
INN00207,,2018,5,2,3,1,101.58,,online,cancelled,,111,
INN00208,,2018,8,21,3,2,85.0,,offline,cancelled,,34,
INN00209,,2018,12,3,4,2,98.39,,online,cancelled,,17,
INN00210,,2018,2,27,0,0,0.0,,complementary,cancelled,,4,
INN00211,,2017,9,22,3,0,106.07,,online,cancelled,,6,
INN00212,,2018,7,18,1,1,105.0,,offline,cancelled,,32,
INN00213,,2017,9,22,1,0,145.0,,online,cancelled,,4,
INN00214,,2018,8,13,1,2,106.03,,online,cancelled,,195,
INN00215,,2018,8,13,2,2,114.3,,online,cancelled,,119,
INN00216,,2018,12,5,1,1,88.0,,online,cancelled,,13,
INN00217,,2017,10,15,2,0,89.25,,online,cancelled,,59,
INN00218,,2018,3,20,5,2,86.32,,online,cancelled,,78,
INN00219,,2018,10,13,3,0,90.0,,offline,cancelled,,335,
INN00220,,2017,8,22,5,2,55.96,,online,cancelled,,103,
INN00221,,2018,6,8,2,0,109.0,,online,cancelled,,0,
INN00222,,2018,3,1,1,0,86.0,,offline,cancelled,,118,
INN00223,,2018,9,5,5,1,118.95,,online,cancelled,,56,
INN00224,,2018,6,10,2,0,130.0,,offline,cancelled,,107,
INN00225,,2018,4,14,3,1,90.56,,online,cancelled,,70,
INN00226,,2018,4,1,2,0,87.3,,online,cancelled,,76,
INN00227,,2018,5,27,2,2,177.65,,online,cancelled,,144,
INN00228,,2017,9,19,2,2,200.75,,online,cancelled,,4,
INN00229,,2018,3,18,2,0,127.0,,online,cancelled,,15,
INN00230,,2018,2,5,2,1,72.9,,online,cancelled,,32,
INN00231,,2018,5,7,1,1,159.3,,online,cancelled,,49,
INN00232,,2018,5,12,3,1,135.15,,online,cancelled,,77,
INN00233,,2018,10,28,2,0,90.0,,offline,cancelled,,22,
INN00234,,2017,10,18,0,1,114.0,,online,cancelled,,0,
INN00235,,2018,6,21,1,0,125.1,,online,cancelled,,58,
INN00236,,2017,8,14,6,2,95.13,,online,cancelled,,4,
INN00237,,2018,4,29,2,0,105.84,,online,cancelled,,117,
INN00238,,2018,12,26,3,1,102.0,,online,cancelled,,36,
INN00239,,2018,12,2,2,2,74.8,,online,cancelled,,35,
INN00240,,2018,4,24,0,1,94.5,,online,cancelled,,31,
INN00241,,2018,6,16,4,2,120.6,,online,cancelled,,79,
INN00242,,2017,10,9,2,1,139.33,,online,cancelled,,1,
INN00243,,2017,9,3,2,0,105.0,,online,cancelled,,21,
INN00244,,2018,9,14,2,0,100.0,,corporate,cancelled,,12,
INN00245,,2018,2,8,0,1,80.3,,online,cancelled,,33,
INN00246,,2017,10,2,2,0,100.0,,offline,cancelled,,164,
INN00247,,2018,3,24,3,0,105.3,,online,cancelled,,78,
INN00248,,2018,5,31,4,0,112.8,,online,cancelled,,18,
INN00249,,2018,8,15,2,1,151.0,,online,cancelled,,21,
INN00250,,2017,11,9,3,1,91.0,,online,cancelled,,0,
INN00251,,2018,8,13,1,2,146.7,,online,cancelled,,152,
INN00252,,2017,10,2,3,2,58.4,,offline,cancelled,,43,
INN00253,,2018,7,26,4,0,80.75,,online,cancelled,,177,
INN00254,,2018,5,21,1,1,76.5,,offline,cancelled,,47,
INN00255,,2018,9,7,3,0,140.13,,online,cancelled,,57,
INN00256,,2017,11,15,4,2,76.0,,online,cancelled,,60,
INN00257,,2017,9,16,1,0,200.0,,online,cancelled,,0,
INN00258,,2017,10,16,2,0,101.5,,online,cancelled,,102,
INN00259,,2018,10,18,3,0,108.0,,online,cancelled,,71,
INN00260,,2018,7,23,3,2,189.0,,online,cancelled,,111,
INN00261,,2018,6,11,1,1,166.0,,online,cancelled,,1,
INN00262,,2018,1,16,1,1,67.5,,online,cancelled,,4,
INN00263,,2017,9,14,3,1,78.54,,online,cancelled,,25,
INN00264,,2018,11,6,2,2,152.1,,online,cancelled,,209,
INN00265,,2018,10,15,1,2,115.0,,online,cancelled,,93,
INN00266,,2017,9,2,5,2,66.53,,online,cancelled,,53,
INN00267,,2017,8,12,2,0,0.0,,complementary,cancelled,,1,
INN00268,,2017,8,23,1,2,0.0,,complementary,cancelled,,4,
INN00269,,2018,12,29,3,0,90.3,,online,cancelled,,302,
INN00270,,2018,4,15,2,0,85.0,,offline,cancelled,,122,
INN00271,,2018,3,11,1,0,75.0,,corporate,cancelled,,16,
INN00272,,2018,8,28,4,2,115.37,,online,cancelled,,28,
INN00273,,2018,3,25,2,1,130.0,,online,cancelled,,161,
INN00274,,2018,12,9,2,0,126.0,,online,cancelled,,57,
INN00275,,2018,6,12,0,1,94.35,,online,cancelled,,19,
INN00276,,2018,7,6,4,2,118.46,,online,cancelled,,109,
INN00277,,2018,6,15,2,0,90.6,,online,cancelled,,239,
INN00278,,2018,3,5,1,2,82.9,,online,cancelled,,33,
INN00279,,2017,8,18,3,0,95.33,,online,cancelled,,11,
INN00280,,2018,4,21,5,2,135.64,,online,cancelled,,40,
INN00281,,2018,6,18,1,1,122.4,,offline,cancelled,,45,
INN00282,,2018,5,9,3,1,116.1,,online,cancelled,,41,
INN00283,,2018,6,28,4,0,62.18,,online,cancelled,,167,
INN00284,,2018,3,9,4,0,63.75,,online,cancelled,,62,
INN00285,,2018,9,7,4,1,118.8,,online,cancelled,,113,
INN00286,,2018,8,10,2,0,167.0,,online,cancelled,,1,
INN00287,,2018,5,13,2,2,187.85,,online,cancelled,,84,
INN00288,,2018,4,24,2,2,108.38,,online,cancelled,,68,
INN00289,,2018,9,7,1,0,0.0,,complementary,cancelled,,9,
INN00290,,2018,10,28,2,1,128.7,,online,cancelled,,245,
INN00291,,2018,3,17,3,1,80.33,,online,cancelled,,80,
INN00292,,2018,8,22,1,1,140.0,,online,cancelled,,7,
INN00293,,2017,8,8,1,1,76.5,,online,cancelled,,128,
INN00294,,2018,5,1,1,2,105.3,,online,cancelled,,100,
INN00295,,2018,4,3,1,2,87.3,,online,cancelled,,118,
INN00296,,2018,11,1,3,0,110.0,,online,cancelled,,166,
INN00297,,2017,9,4,1,0,83.0,,offline,cancelled,,41,
INN00298,,2018,8,13,2,2,99.45,,online,cancelled,,174,
INN00299,,2017,12,27,1,2,104.5,,offline,cancelled,,27,
INN00300,,2018,11,16,6,2,92.54,,online,cancelled,,2,
INN00301,,2018,10,13,3,0,95.0,,offline,cancelled,,37,
INN00302,,2018,6,15,2,0,130.0,,online,cancelled,,188,
INN00303,,2018,1,2,1,2,63.0,,offline,cancelled,,68,
INN00304,,2018,10,28,2,1,109.8,,online,cancelled,,189,
INN00305,,2018,5,16,0,1,103.0,,online,cancelled,,10,
INN00306,,2018,2,20,1,2,130.0,,online,cancelled,,19,
INN00307,,2018,3,23,2,0,117.0,,online,cancelled,,61,
INN00308,,2017,12,29,4,0,60.5,,offline,cancelled,,95,
INN00309,,2017,9,30,1,0,112.2,,offline,cancelled,,83,
INN00310,,2018,8,1,3,1,135.9,,online,cancelled,,37,
INN00311,,2018,7,25,0,1,151.0,,online,cancelled,,19,
INN00312,,2018,9,16,2,0,239.0,,online,cancelled,,22,
INN00313,,2017,12,26,1,2,59.09,,online,cancelled,,22,
INN00314,,2018,7,9,5,2,103.09,,online,cancelled,,151,
INN00315,,2018,2,28,1,2,87.0,,offline,cancelled,,26,
INN00316,,2018,4,17,0,1,137.0,,online,cancelled,,27,
INN00317,,2018,6,24,2,0,109.0,,offline,cancelled,,79,
INN00318,,2018,6,6,1,1,115.0,,online,cancelled,,247,
INN00319,,2018,7,17,3,2,99.45,,online,cancelled,,189,
INN00320,,2018,8,18,2,0,115.0,,online,cancelled,,320,
INN00321,,2018,2,22,2,1,130.0,,online,cancelled,,27,
INN00322,,2018,5,22,0,1,65.0,,corporate,cancelled,,51,
INN00323,,2018,6,17,2,0,75.0,,online,cancelled,,245,
INN00324,,2018,7,8,2,1,132.9,,online,cancelled,,52,
INN00325,,2017,10,18,0,2,120.0,,online,cancelled,,13,
INN00326,,2018,11,11,2,0,79.2,,online,cancelled,,46,
INN00327,,2018,8,28,1,2,159.3,,online,cancelled,,84,
INN00328,,2018,6,15,2,0,130.0,,online,cancelled,,188,
INN00329,,2017,10,6,3,0,90.0,,offline,cancelled,,19,
INN00330,,2018,5,27,2,0,140.4,,online,cancelled,,67,
INN00331,,2017,8,11,1,0,75.0,,online,cancelled,,0,
INN00332,,2017,7,17,2,0,109.0,,online,cancelled,,273,
INN00333,,2017,7,25,1,2,94.5,,online,cancelled,,110,
INN00334,,2017,12,15,1,0,75.0,,corporate,cancelled,,0,
INN00335,,2017,10,23,2,1,75.0,,offline,cancelled,,32,
INN00336,,2017,10,10,1,2,76.67,,offline,cancelled,,282,
INN00337,,2018,10,2,2,2,126.0,,online,cancelled,,38,
INN00338,,2018,7,23,1,1,85.5,,online,cancelled,,175,
INN00339,,2018,8,18,3,0,140.7,,online,cancelled,,143,
INN00340,,2018,6,26,2,2,103.7,,online,cancelled,,127,
INN00341,,2017,9,8,1,0,142.0,,online,cancelled,,0,
INN00342,,2018,12,21,5,2,103.7,,online,cancelled,,95,
INN00343,,2018,6,6,2,1,110.0,,offline,cancelled,,118,
INN00344,,2018,11,10,3,0,75.0,,offline,cancelled,,45,
INN00345,,2018,7,25,1,1,137.7,,online,cancelled,,69,
INN00346,,2018,9,7,1,0,87.3,,online,cancelled,,57,
INN00347,,2018,8,24,2,0,0.0,,complementary,cancelled,,5,
INN00348,,2017,8,14,2,0,101.5,,offline,cancelled,,39,
INN00349,,2018,2,24,1,0,97.0,,online,cancelled,,0,
INN00350,,2018,8,15,1,1,150.3,,online,cancelled,,89,
INN00351,,2018,3,29,4,0,82.45,,online,cancelled,,85,
INN00352,,2018,7,1,1,0,103.0,,corporate,cancelled,,4,
INN00353,,2018,7,5,6,2,145.0,,online,cancelled,,11,
INN00354,,2018,7,11,1,1,145.0,,online,cancelled,,12,
INN00355,,2018,5,14,2,2,134.85,,online,cancelled,,77,
INN00356,,2018,10,22,1,1,168.25,,online,cancelled,,14,
INN00357,,2018,2,28,1,2,60.0,,online,cancelled,,1,
INN00358,,2018,6,13,3,1,76.0,,offline,cancelled,,133,
INN00359,,2017,8,10,2,1,63.5,,offline,cancelled,,3,
INN00360,,2018,9,18,0,2,95.0,,offline,cancelled,,19,
INN00361,,2018,9,3,2,2,90.95,,offline,cancelled,,86,
INN00362,,2017,10,16,2,0,98.4,,online,cancelled,,23,
INN00363,,2018,9,22,1,0,135.9,,online,cancelled,,65,
INN00364,,2018,11,16,2,0,130.0,,online,cancelled,,1,
INN00365,,2017,11,19,1,0,81.9,,online,cancelled,,66,
INN00366,,2018,2,22,4,1,78.85,,online,cancelled,,50,
INN00367,,2018,6,26,3,2,141.3,,online,cancelled,,87,
INN00368,,2018,4,9,1,1,70.0,,offline,cancelled,,159,
INN00369,,2018,8,13,3,2,170.1,,online,cancelled,,39,
INN00370,,2018,10,23,0,2,115.0,,online,cancelled,,386,
INN00371,,2017,12,29,5,0,199.0,,online,cancelled,,22,
INN00372,,2018,7,10,2,2,82.45,,offline,cancelled,,102,
INN00373,,2018,10,20,3,0,192.86,,online,cancelled,,86,
INN00374,,2017,9,25,2,2,185.0,,offline,cancelled,,56,
INN00375,,2018,12,10,6,2,68.07,,online,cancelled,,36,
INN00376,,2018,10,4,3,0,118.8,,online,cancelled,,50,
INN00377,,2018,10,27,2,0,104.4,,online,cancelled,,115,
INN00378,,2018,3,23,1,0,65.0,,corporate,cancelled,,0,
INN00379,,2018,3,3,3,1,71.1,,online,cancelled,,35,
INN00380,,2018,5,21,1,2,95.0,,offline,cancelled,,17,
INN00381,,2018,9,13,11,4,116.62,,online,cancelled,,237,
INN00382,,2018,9,7,4,0,136.0,,online,cancelled,,125,
INN00383,,2018,12,2,2,2,147.9,,online,cancelled,,32,
INN00384,,2018,9,18,0,2,123.7,,offline,cancelled,,5,
INN00385,,2018,6,19,1,2,135.9,,online,cancelled,,91,
INN00386,,2017,10,16,2,0,109.0,,offline,cancelled,,102,
INN00387,,2018,3,20,1,2,186.0,,online,cancelled,,9,
INN00388,,2018,12,26,3,1,115.6,,online,cancelled,,155,
INN00389,,2018,5,14,1,0,221.0,,online,cancelled,,0,
INN00390,,2017,9,15,3,0,65.0,,corporate,cancelled,,11,
INN00391,,2018,2,19,1,0,80.0,,corporate,cancelled,,0,
INN00392,,2018,3,23,4,1,73.83,,offline,cancelled,,86,
INN00393,,2018,10,18,1,0,67.0,,corporate,cancelled,,18,
INN00394,,2018,3,4,2,0,80.3,,online,cancelled,,58,
INN00395,,2018,4,30,1,2,85.0,,offline,cancelled,,54,
INN00396,,2018,7,23,3,2,152.1,,online,cancelled,,25,
INN00397,,2017,9,9,2,0,89.25,,online,cancelled,,107,
INN00398,,2018,9,28,4,0,110.0,,offline,cancelled,,100,
INN00399,,2018,5,13,2,1,95.0,,online,cancelled,,273,
INN00400,,2018,3,18,1,0,79.0,,online,cancelled,,29,
INN00401,,2018,8,12,1,0,80.0,,online,cancelled,,221,
INN00402,,2018,10,1,2,2,102.85,,online,cancelled,,213,
INN00403,,2018,9,9,2,1,90.0,,online,cancelled,,198,
INN00404,,2018,1,29,2,1,62.37,,online,cancelled,,81,
INN00405,,2018,4,8,1,0,98.0,,online,cancelled,,23,
INN00406,,2017,9,17,3,0,117.67,,online,cancelled,,26,
INN00407,,2018,6,18,1,2,141.0,,online,cancelled,,20,
INN00408,,2018,12,26,3,1,156.61,,online,cancelled,,124,
INN00409,,2018,8,3,3,0,152.1,,online,cancelled,,85,
INN00410,,2018,8,6,1,0,105.3,,online,cancelled,,167,
INN00411,,2018,5,30,3,1,119.85,,online,cancelled,,71,
INN00412,,2018,11,4,2,0,97.2,,online,cancelled,,48,
INN00413,,2018,5,13,1,0,116.1,,online,cancelled,,37,
INN00414,,2018,5,29,2,2,150.45,,online,cancelled,,76,
INN00415,,2018,1,20,1,0,71.0,,offline,cancelled,,13,
